Date,Open,High,Low,Close
Thu Dec 15 2022 09:15:00 GMT+0530 (India Standard Time),2602.5,2612.9,2602.25,2608.05
Thu Dec 15 2022 09:20:00 GMT+0530 (India Standard Time),2608.1,2615,2607.1,2610
Thu Dec 15 2022 09:25:00 GMT+0530 (India Standard Time),2611.05,2612.65,2605.5,2605.95
Thu Dec 15 2022 09:30:00 GMT+0530 (India Standard Time),2606.05,2607.15,2600.1,2601
Thu Dec 15 2022 09:35:00 GMT+0530 (India Standard Time),2601.35,2605.1,2595.95,2604.15
Thu Dec 15 2022 09:40:00 GMT+0530 (India Standard Time),2603.4,2609,2602.6,2606
Thu Dec 15 2022 09:45:00 GMT+0530 (India Standard Time),2606.05,2606.05,2600.55,2603
Thu Dec 15 2022 09:50:00 GMT+0530 (India Standard Time),2602.55,2604,2601,2601.95
Thu Dec 15 2022 09:55:00 GMT+0530 (India Standard Time),2601.95,2602.7,2599,2599
Thu Dec 15 2022 10:00:00 GMT+0530 (India Standard Time),2598.9,2600.5,2595.05,2596.95
Thu Dec 15 2022 10:05:00 GMT+0530 (India Standard Time),2596.9,2598.6,2596.1,2596.6
Thu Dec 15 2022 10:10:00 GMT+0530 (India Standard Time),2597,2598.35,2593.8,2595.45
Thu Dec 15 2022 10:15:00 GMT+0530 (India Standard Time),2595,2598.9,2593.8,2598.45
Thu Dec 15 2022 10:20:00 GMT+0530 (India Standard Time),2598.45,2602.9,2598.45,2599.7
Thu Dec 15 2022 10:25:00 GMT+0530 (India Standard Time),2599.7,2601.6,2598.9,2600.6
Thu Dec 15 2022 10:30:00 GMT+0530 (India Standard Time),2600.4,2600.4,2598.5,2598.85
Thu Dec 15 2022 10:35:00 GMT+0530 (India Standard Time),2598.7,2600,2598.15,2599.15
Thu Dec 15 2022 10:40:00 GMT+0530 (India Standard Time),2599.15,2599.55,2597.25,2598.6
Thu Dec 15 2022 10:45:00 GMT+0530 (India Standard Time),2598.55,2600.05,2597.75,2600
Thu Dec 15 2022 10:50:00 GMT+0530 (India Standard Time),2600.05,2601.6,2599.6,2599.95
Thu Dec 15 2022 10:55:00 GMT+0530 (India Standard Time),2599.95,2601.25,2598.75,2600.25
Thu Dec 15 2022 11:00:00 GMT+0530 (India Standard Time),2600.25,2600.85,2599.15,2600.6
Thu Dec 15 2022 11:05:00 GMT+0530 (India Standard Time),2600.6,2602.9,2600.45,2602.7
Thu Dec 15 2022 11:10:00 GMT+0530 (India Standard Time),2602.7,2602.9,2600.5,2602
Thu Dec 15 2022 11:15:00 GMT+0530 (India Standard Time),2601.95,2602.45,2600.9,2600.9
Thu Dec 15 2022 11:20:00 GMT+0530 (India Standard Time),2601,2602.6,2600.5,2600.5
Thu Dec 15 2022 11:25:00 GMT+0530 (India Standard Time),2600.95,2601.15,2600,2600
Thu Dec 15 2022 11:30:00 GMT+0530 (India Standard Time),2600.05,2602,2599.9,2601.3
Thu Dec 15 2022 11:35:00 GMT+0530 (India Standard Time),2601.3,2606.55,2601.3,2603
Thu Dec 15 2022 11:40:00 GMT+0530 (India Standard Time),2603.3,2605,2602.75,2603.6
Thu Dec 15 2022 11:45:00 GMT+0530 (India Standard Time),2603.6,2604,2602,2604
Thu Dec 15 2022 11:50:00 GMT+0530 (India Standard Time),2603.95,2604,2600.95,2602.05
Thu Dec 15 2022 11:55:00 GMT+0530 (India Standard Time),2602.1,2602.8,2598.65,2600.05
Thu Dec 15 2022 12:00:00 GMT+0530 (India Standard Time),2600.05,2600.2,2596.2,2597.3
Thu Dec 15 2022 12:05:00 GMT+0530 (India Standard Time),2597.4,2600.1,2596.85,2597
Thu Dec 15 2022 12:10:00 GMT+0530 (India Standard Time),2597.05,2598.8,2596.15,2597.95
Thu Dec 15 2022 12:15:00 GMT+0530 (India Standard Time),2597.9,2598.1,2596,2596.9
Thu Dec 15 2022 12:20:00 GMT+0530 (India Standard Time),2597.05,2598.35,2596.25,2597
Thu Dec 15 2022 12:25:00 GMT+0530 (India Standard Time),2597.1,2597.8,2596,2596.45
Thu Dec 15 2022 12:30:00 GMT+0530 (India Standard Time),2596.45,2596.45,2592,2593.5
Thu Dec 15 2022 12:35:00 GMT+0530 (India Standard Time),2594.35,2595.15,2593.4,2594.9
Thu Dec 15 2022 12:40:00 GMT+0530 (India Standard Time),2595,2595.05,2590.95,2592.6
Thu Dec 15 2022 12:45:00 GMT+0530 (India Standard Time),2592.45,2594.95,2591.5,2592.7
Thu Dec 15 2022 12:50:00 GMT+0530 (India Standard Time),2592.55,2592.85,2590,2590
Thu Dec 15 2022 12:55:00 GMT+0530 (India Standard Time),2590.05,2591.7,2588,2590.95
Thu Dec 15 2022 13:00:00 GMT+0530 (India Standard Time),2590.95,2594.95,2590.45,2594.45
Thu Dec 15 2022 13:05:00 GMT+0530 (India Standard Time),2594.45,2597,2594.1,2595.5
Thu Dec 15 2022 13:10:00 GMT+0530 (India Standard Time),2595.5,2595.7,2593,2593.45
Thu Dec 15 2022 13:15:00 GMT+0530 (India Standard Time),2593.45,2593.45,2591.15,2592.5
Thu Dec 15 2022 13:20:00 GMT+0530 (India Standard Time),2592.4,2592.65,2590.5,2592
Thu Dec 15 2022 13:25:00 GMT+0530 (India Standard Time),2592,2592.3,2591.8,2591.8
Thu Dec 15 2022 13:30:00 GMT+0530 (India Standard Time),2591.85,2593.3,2591.45,2592.85
Thu Dec 15 2022 13:35:00 GMT+0530 (India Standard Time),2592.9,2594.15,2592.45,2594.15
Thu Dec 15 2022 13:40:00 GMT+0530 (India Standard Time),2594.15,2594.15,2592,2592.6
